38 Provinsi,,,,,,
,Jumlah Perusahaan Industri Skala Mikro dan Kecil Menurut Provinsi (Unit),,,,,
,Mikro,,,Kecil,,
,2020,2021,2022,2020,2021,2022
ACEH,100728,111920,108050,2572,1372,448
SUMATERA UTARA,113495,126732,117806,6668,5650,3108
SUMATERA BARAT,91079,94090,86129,3313,2543,1755
RIAU,48750,44976,44623,1952,819,1863
JAMBI,25254,28754,32656,831,630,339
SUMATERA SELATAN,73404,77494,72707,2165,1621,1349
BENGKULU,19919,20636,18435,514,220,354
LAMPUNG,84452,82805,82715,4074,1219,1818
KEP. BANGKA BELITUNG,21075,18578,18756,482,574,423
KEP. RIAU,13482,17878,16926,297,147,113
DKI JAKARTA,46084,54029,45051,12933,8079,10112
JAWA BARAT,584920,592791,632921,41023,29434,34874
JAWA TENGAH,831652,808293,856144,66510,47195,35964
DI YOGYAKARTA,133132,103559,120731,4367,4332,2841
JAWA TIMUR,720250,681442,782131,108232,80573,92366
BANTEN,100709,100260,97303,6968,3568,5056
BALI,145622,146025,148133,3894,2301,2333
NUSA TENGGARA BARAT,92839,97704,98777,11749,9271,10450
NUSA TENGGARA TIMUR,135051,155871,166792,1003,434,1210
KALIMANTAN BARAT,38187,39480,38561,962,557,563
KALIMANTAN TENGAH,21774,25584,23359,1499,423,593
KALIMANTAN SELATAN,52798,55968,53646,2835,1107,882
KALIMANTAN TIMUR,23550,26156,25688,1094,446,536
KALIMANTAN UTARA,4771,6224,5221,192,58,133
SULAWESI UTARA,35727,52678,44214,1384,625,94
SULAWESI TENGAH,81535,87511,86280,3024,1004,2299
SULAWESI SELATAN,121097,121537,127221,5392,1343,2458
SULAWESI TENGGARA,44620,54713,44220,968,172,233
GORONTALO,27273,25632,30542,1363,129,561
SULAWESI BARAT,25221,23720,27456,671,115,436
MALUKU,21890,35253,33406,311,111,207
MALUKU UTARA,13289,15857,15977,294,288,103
PAPUA BARAT,4277,5992,6118,281,77,155
PAPUA BARAT DAYA,-,-,-,-,-,-
PAPUA,11812,15941,14174,282,168,330
PAPUA SELATAN,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-
INDONESIA,3909718,3956083,4122869,300099,206605,216359
